identity,question,a,b,c,d,correct _answer
hsc-chemistry-12-74,ག་གི་གློག་རྡུལ་ལུ་ མཐུད་སྦྲེལ་གྱི་ཟུར་ཚད་མཐོ་ཤོས་ཡོདཔ་ཨིན་ན?,A_{2}+B_{2}\rightleftharpoons 2AB གིས་ བསྡུ་ལེན་འབད་ཡོད་པའི་ཨང་གྲངས་ཚུ་,A_{2}+3B_{2}\rightleftharpoons 2AB_{3} འདི་ཡང་ སྦ་སྒོར་ནང་ཡོད་མི་ སྦ་སྒོར་ནང་ཡོད་མི་ སྦ་སྒོར་ནང་ཡོད་མི་,C+2D\rightleftharpoons A འདི་ ཀེར་ཐིག་གཉིས་དང་སྦྲགས་ཏེ་ཡོདཔ་ཨིན།,C+D\rightleftharpoons 3A འདི་ ཀེར་ཐིག་ ༣་་གི་མཐའ་མ་ཨིན།,a
hsc-chemistry-12-75,རང་བཞིན་གནས་སྟངས་ནང་ལུ་ ཧའི་ཌོ་ཇེན་ཨིས་ཏྲཱོན་ལུ་ འཁོར་བའི་གློག་རྡུལ་གྱི་ ཀེར་ཐིག་གི་ལྗིད་ཚད་ག་དེམ་ཅིག་ཡོདཔ་ཨིན་ན?,3.16\times 10^{-2} འདི་ཡང་ འ་ནི་རྩིས་གཞི་ལུ་གཞི་བསྟུན་འབདཝ་ཨིན།,3.16\times 10^{-3} འདི་ཡང་ སྦྲེལ་རྟགས་ཨིན་,སྦྲེལ་རྟགས་འདི་ ༡༠ ལུ་ཡར་འཕར་འབདཝ་ཨིན།,4.0 \times 10^{-4} འདི་ལུ་བལྟ་བ་ཅིན་,a
hsc-chemistry-12-76,ཇི་རད་ཕོརཌ་གིས་ ཁོ་གི་བརྟག་དཔྱད་ཀྱི་སྐབས་ལུ་ ག་ཅི་གི་ཀཝ་ལག་ལེན་འཐབ་ཡོདཔ་ཨིན་ན?,HNO_{2} འདི་ལུ་,HNO_{3} འདི་ལུ་,H_{2}SO_{4} འདི་ལུ་བལྟ་བ་ཅིན་,H_{2}SO_{3} འདི་ལུ་བལྟ་བ་ཅིན་,c
hsc-chemistry-12-77,ཟ་ཆས་ཚུ་ ཚ་ཏོང་ཏོ་སྦེ་ བཙུགས་ཏེ་ བཞེས་སྒོ་བཟོ་ནི་དེ་ ག་ཅི་སྦེ་སླབ་ནི་ཨིན་ན?,i དང་ ii,i དང་ iii,ii དང་ iii,"i, ii དང་ iii ཚུ་ཨིན།",d
hsc-chemistry-12-78,ཨསིཌ་གི་ཤུགས་ཚད་འདི་ ག་དེ་ཅིག་ཨིན་ག་འདི་,i དང་ ii,ii དང་ iii,i དང་ iii,"i, ii དང་ iii ཚུ་ཨིན།",d
hsc-chemistry-12-80,i. གྲུབ་འབྲས་འདི་ ཚ་དྲོད་ཅན་ཨིན།,10,11,12,13,b
hsc-chemistry-12-81,༢། ཀ_{p} དང་ ཀ_{e} གི་གནས་གོང་ཚུ་འདྲན་འདྲ་ཨིན།,i,གསུམ་པ་,i དང་ ii,"i, ii དང་ iii ཚུ་ཨིན།",c
hsc-chemistry-12-82,གསུམ་པ་ ཌིསི་ཨེཕ་སི་གི་གནས་སྟངས་ལུ་ ཐོ་མི་ཕོགཔ་,1-2%,2-4%,4-6%,6-10%,d
hsc-chemistry-12-83,འ་ནི་གྲལ་ལས་ ག་འདི་བདེན་པ་ཨིན་ན?,H^{+} འདི་ཡང་,ཨེགསི་,ཁོ་གིས་,ལི་^{+},b
hsc-chemistry-12-84,3d orbital གི་དོན་ལུ་ m གི་གནས་གོང་འདི་ག་དེམ་ཅིག་འོང་ནི་ཨིན་ན?,0,"- 1, 0, + 1","- 2, - 1, 0, + 1, + 2","- 3, - 2, - 1, 0, + 1, + 2, + 3",c
hsc-chemistry-12-85,བོ་རོན་གྱི་མཇུག་གི་གློག་རྡུལ་ལུ་ ལྡེ་མིག་གི་ལྗིད་ཚད་ག་དེམ་ཅིག་ཡོདཔ་ཨིན་ན?,\frac{h}{2\pi}ལུ་ བསྒྱུར་བཅོས་འབདཝ་ཨིན།,\frac{2h}{\pi}ལུ་ བསྒྱུར་བཅོས་འབདཝ་ཨིན།,\frac{n}{2\pi}ལུ་ བསྒྱུར་བཅོས་འབདཝ་ཨིན།,\frac{h}{\pi}ལུ་ བསྒྱུར་བཅོས་འབདཝ་ཨིན།,d
hsc-chemistry-12-87,,i དང་ ii,i དང་ iii,ii དང་ iii,"i, ii དང་ iii ཚུ་ཨིན།",d
hsc-chemistry-12-88,རྒྱུད་བསྐུལ་གྱི་དོན་ཚན་ A གྱི་དོན་ཚན་འདི་ཨིན།,12.6,12.3,1.7,1.4,b
hsc-chemistry-12-89,i. ནེསི་ལར་གྱི་ གྲོས་ཆོད་ནང་ ཤ་རོགསཔ་གིས་ འབྱེམ་རྐྱབ་ཡོདཔ་ཨིན།,ནི།,C,བི་,ཨོ་,a
hsc-chemistry-12-90,༢། འདི་ལུ་ ཀ་ཝར་ཊི་ལར་གྱི་བཟོ་རྣམ་ཡོདཔ་ཨིན།,ཨའི་ཨོ་ནིཀ,ཨོ་པོ་ལར་གི་དུས་མཐུན་,ཨ་ལོ་ཚུ་ གཅིག་ཁར་བསྡོམ་ནི་,ནང་ཐིག་,b
hsc-chemistry-12-91,གསུམ་པ་ འདི་ནང་ལུ་ མཉམ་སྦྲེལ་དང་ མཐུད་སྦྲེལ་ དེ་ལས་ ཨི་ཨོ་ནི་ཀཱོན་ཚུ་ཡོདཔ་ཨིན།,sp,sp^{2}d འདི་ཡང་,sp^{3}d^{2}ལུ་ བསྒྱུར་བཅོས་འབདཝ་ཨིན།,sp^{3}d འདི་ཡང་,d
hsc-chemistry-12-92,འོག་ལུ་ཡོད་མི་ལས་ ག་འདི་བདེན་པ་ཨིན་ན་ཟེར་བ་ཅིན་,F_{2} འདི་ལུ་,Cl_{2} དེ་ནང་ལུ་,Br_{2} འདི་ཡང་,I_{2} འདི་ཡང་,c
hsc-chemistry-12-94,i. H_{2}O ཚ་ཆུ་,\sqrt{\frac{K_{b}}{C}} འདི་ཡང་ ཌའི་ལོག་གི་ས་སྒོ་འདི་ཨིན།,\sqrt{\frac{C}{K_{b}}}ལུ་ བསྒྱུར་བཅོས་འབདཝ་ཨིན།,\sqrt{\frac{K_{a}}{C}} འདི་ཡང་ སྦ་སྒོར་འདི་ནང་ལུ་ཨིན།,\sqrt{K_{a} C} དེ་ནང་ལུ་,c
hsc-chemistry-12-95,༢། ཨེ་ཊ་ནོལ་འདི་ ཆུ་ནང་སེལ་ཚུགས།,n = ༡ དང་ l = ༠ ཨིན་པས།,nའདི་ ༢ དང་ lའདི་ ༡ ཨིན།,n འདི་ ༣ དང་ l འདི་ ༢ ཨིན།,n འདི་ ༤ དང་ l འདི་ ༣ ཨིན།,c
hsc-chemistry-12-96,གསུམ་པ་ ཨིས་ཊ་ནོ་ཨིག་ཨེ་སིཌ་གིས་ ཌའི་མཱར་བཟོཝ་ཨིན།,i དང་ ii,i དང་ iii,ii དང་ iii,"i, ii དང་ iii ཚུ་ཨིན།",d
hsc-chemistry-12-97,འོག་ལུ་ཡོད་མི་ལས་ ག་འདི་བདེན་པ་ཨིན་ན་ཟེར་བ་ཅིན་,CO_{2} དེ་ནང་ལུ་,PH_{3} དེ་ནང་ལུ་,PCl_{5} འདི་ལུ་,HF,a
hsc-chemistry-12-98,ཨསིཊི་ཞན་པའི་ བརླག་སོང་ཚད་ -,LiOH<NaOH<KOH<CsOH,NaOH<LiOH<KOH<CsOH,KOH<CsOH<LiOH<NaOH,LiOH<KOH<CsOH<NaOH,a
hsc-chemistry-12-99,ཇི་ཨེམ་ཨར་བི་ཊཱལ་འདི་ ཕྱི་ཁ་ལུ་ཡོད་མི་ཚུ་ག་ར་ལུ་ ཕན་ཐོགས་ཡོདཔ་ཨིན་ན།,A+B\rightleftharpoons ༢L+M འདི་ཡང་ སྦ་སྒོར་གྱི་མཐའ་མ་ལུ་ཨིན།,2A+B\rightleftharpoons L+2M འདི་ཡང་ སྦ་སྒོར་གྱི་མཐའ་མ་ལུ་ཡོད་པའི་སྦ་སྒོར་དེ་ཨིན།,2A+B\rightleftharpoons L+M འདི་ ཀླད་ཀོར་གྱི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་ཨིན།,A+B\rightleftharpoons 2L+2M འདི་ཡང་ སྦ་སྒོར་གི་ས་སྒོ་འདི་ཨིན།,b
hsc-chemistry-12-101,i.sp ནད་འབུབ་ཐོབ་,1:02,3:01,3:02,4:03,c
hsc-chemistry-12-102,༢། ཧའི་ཌོ་ཇེན་ལྕགས་རིགས་,8S^{3} འདི་ལུ་བལྟ་བ་ཅིན་,༡༦S^{4} འདི་ལུ་,༢༧ S^{3} འདི་ ༢༧ S^{3} ཨིན།,༡༠༨S^{5} འདི་ལུ་,d
hsc-chemistry-12-103,གསུམ་པ་ S གི་རྩ་བ་,dsp^{2} འདི་ལུ་,sp^{3} འདི་ལུ་,sp^{2} འདི་ལུ་,sp,b
hsc-chemistry-12-104,ཀུ་ཝང་གི་ཁུ་བ་ནང་ལུ་ འབུབ་རིགས་ག་འདི་ལག་ལེན་འཐབ་དོ་ཡོདཔ་ཨིན་ན?,F_{2} འདི་ལུ་,Cl_{2} དེ་ནང་ལུ་,Br_{2} འདི་ཡང་,I_{2} འདི་ཡང་,d
hsc-chemistry-12-105,Chalcogen གྱི་རྒྱུ་རྫས་འདི་ ག་གི་ཆ་ཤས་ཅིག་ཨིན་ན?,ན,ཁོ་གིས་,ཨོ་,Be,c
hsc-chemistry-12-106,ཙི་ཙི་ཅིག་ནང་ ཨེལོཊརོནཊི་ག་དེ་མང་ཤོས་ཅིག་ཡོདཔ་ཨིན་ན?,ངོས་ལེན་འབད་ཡོདཔ་:,HBr,HC1,HF,d
hsc-chemistry-12-107,ཆུ་གི་ཨི་ཨོནཌི་ཀའུཊི་ (K_{w}) གི་ཚད་གཞི་འདི་ག་དེ་ཅིག་ཨིན་ན?,i,i དང་ iii,ii དང་ iii,"i, ii དང་ iii ཚུ་ཨིན།",b
hsc-chemistry-12-108,ཨེན་ཇིམ་ག་ལས་བརྟེན་ གཱུལ་ཀོཟ་དང་ ཕོརསི་ཊོཟ་ཚུ་ ཨེ་ཊ་ནོལ་ལུ་འགྱུར་དོ་ཡོདཔ་ཨིན་ན?,NH_{4}NO_{3} འདི་ལུ་བལྟ་བ་ཅིན་,(NH_{4}) _{2}SO_{4} འདི་ལུ་བལྟ་བ་ཅིན་,(NH_{4}) _{2}CO_{3} འདི་ཡང་ ཌའི་ལོག་གི་མིང་ཨིན།,NH_{4}Cl,b
hsc-chemistry-12-110,i. ཨ་ལཱན་ཅི་འདི་ དྭངས་གསལ་སྦེ་རང་མཐོང་ཚུགས་དོ་ཡོདཔ་ཨིན།,2,6,10,14,d
hsc-chemistry-12-111,༢། ཀླད་ཀོར་གསུམ་ཡོད་པའི་ པི་རཱམ་ཌི་ཡཱནསི་,mol L^{-1} འདི་,mol^{2}L^{-2} འདི་ལུ་བལྟ་བ་ཅིན་,mol^{-2}L^{2} འདི་ཡང་ ཀླད་ཀོར་གྱི་རིམ་པ་ཨིན།,mol^{2}L^{2} འདི་ཡང་ ཀེར་ཐིག་གཉིས་ལུ་,b
hsc-chemistry-12-112,གསུམ་པ་ མཐུད་སྦྲེལ་འདི་གིས་ མཐུད་སྦྲེལ་བཟོཝ་ཨིན།,དབྱེ་བ་ཕྱེ་ནི་,མཆིན་པའི་ནད་,མཱལ་ཊེཇ་,ཇའི་མཱེཇ་,d
hsc-chemistry-12-113,འོག་ལུ་ཡོད་མི་ལས་ ག་འདི་བདེན་པ་ཨིན་ན་ཟེར་བ་ཅིན་,i དང་ ii,ii དང་ iii,i དང་ iii,"i, ii དང་ iii ཚུ་ཨིན།",a
hsc-chemistry-12-114,འོག་གི་རྒྱུ་རྫས་འདི་ག་ཏེ་ལས་ཨིན་ན།,Ti,ཀྲོར,Fe,ནི,a
hsc-chemistry-12-116,i. k_{p} གི་ཆ་ཤས་འདི་ atm^{-2}ཨིན།,H^{+} འདི་ཡང་,ཧེ་^{+},ལི་^{+},བི་^{+},b
hsc-chemistry-12-117,༢། མེ་རླུང་རྒྱ་རྫི་འདི་ རླུང་མ་ཤུགས་སྦེ་འཕུ་བའི་བསྒང་ལས་ ཐོན་སྐྱེད་ཡར་འཕར་འགྱོ་དོ་ཡོདཔ་ཨིན།,S^{2} འདི་ལུ་,4S^{3} འདི་ལུ་,༢༧ S^{4} འདི་ ༢༧ S^{4} ཨིན།,༡༠༨S^{5} འདི་ལུ་,c
hsc-chemistry-12-118,གསུམ་པ་ བརྟག་ཞིབ་ཚད་གཏན་འཇགས་འབདཝ་ཨིན།,i དང་ ii,ii དང་ iii,i དང་ iii,"i, ii དང་ iii ཚུ་ཨིན།",b
hsc-chemistry-12-119,འ་ནི་ཚུ་ལས་ག་འདི་བདེན་པ་ཨིན་ན?,8,6,5,3,b
hsc-chemistry-12-120,ཆུ་གི་ཨི་ཨོནསི་གི་གྱངས་ཁ་འདི་ག་དེམ་ཅིག་ཡོདཔ་ཨིན་ན?,UV,IR,X-ray,མཐོང་ཚུགས་པའི་འོད་ཟེར་,a
hsc-chemistry-12-121,2AB \rightleftharpoons A_{2} + B_{2}; \Delta H = + Ve འ་ནི་བཙོང་ནིའི་དོན་ལུ་ ག་འདི་བདེན་པ་ཨིན་ན?,i དང་ ii,ii དང་ iii,i དང་ iii,"i, ii དང་ iii ཚུ་ཨིན།",d
hsc-chemistry-12-122,k_{c}གི་གནས་གོང་འདི་ག་དེ་ཅིག་ཨིན་ན།,ལེན་མི་ཚུགས།,N_{2}O_{3} འདི་ལུ་བལྟ་བ་ཅིན་,N_{2}O_{4} འདི་ལུ་བལྟ་བ་ཅིན་,N_{2}O_{5} འདི་ལུ་བལྟ་བ་ཅིན་,c
hsc-chemistry-12-123,མི་གི་གཟུགས་ནང་གི་ pH ཚད་འཛིན་འབད་ནིའི་ བར་མཚམས་འདི་ག་ཅི་ཡོདཔ་ཨིན་ན?,i དང་ ii,ii དང་ iii,i དང་ iii,"i, ii དང་ iii ཚུ་ཨིན།",a
hsc-chemistry-12-124,རང་བཞིན་གྱི་ཟས་བཅུད་ཚུ་ སྲུང་སྐྱོབ་འབད་ནིའི་དོན་ལུ་ ལག་ལེན་འཐབ་མི་ཅིག་འདི་ག་འདི་ཨིན་ན?,sp,sp^{2} འདི་ལུ་,sp^{3} འདི་ལུ་,sp^{3}d འདི་ཡང་,c
hsc-chemistry-12-125,vinegar་ནང་ལུ་ ethanoic acid་གི་བརྒྱ་ཆ་ག་དེམ་ཅིག་ཡོདཔ་ཨིན་ན?,༩༠་\degree,༡༠༥\degree,༡༠༧\degree,༡༠༩\degree,d
hsc-chemistry-12-126,འོག་གི་རྒྱུ་རྫས་ག་འདི་བསད་ནི་གི་རྒྱུ་རྫས་སྦེ་ལག་ལེན་འཐབ་ཡོདཔ་ཨིན་ན?,ཨེཇི་ཨེཕ་,AgC1,AgBr,AgI,d
hsc-chemistry-12-127,མཐོང་ཚུགས་པའི་འོད་ཟེར་གྱི་འོད་ཀྱི་རིང་ཚད་འདི་ ནཱན་མི་ཊར་ག་དེ་ཅིག་ཡོདཔ་ཨིན་ན?,Ionic bond ཚུ་,དུས་མཐུན་གྱི་མཐུན་ལམ་,ཧའི་ཌོ་ཇེན་ལྕགས་རིགས་,ལྕགས་ཀྱི་ཐགཔ་,c
hsc-chemistry-12-128,ཤུགས་ཚད་གསུམ་པ་ལུ་ལོག་འགྱོཝ་ད་ ཇི་བཟུམ་ཅིག་མཐོང་ཚུགས་ནི་ཨིན་ན?,པི་རཱེམ་ཌི་ཡཱན་,ཟུར་བཞི་འབད་མི་,ཟུར་ཐིག་གསུམ་འབད་མི་,ཟུར་བརྒྱད་འབད་མི་,d
hsc-chemistry-12-129,ཨེཀཊོརནཊི་འདི་ དང་པ་ག་ལུ་འགྱོ་ནི་ཨིན་ན?,i དང་ ii,ii དང་ iii,i དང་ iii,"i, ii དང་ iii ཚུ་ཨིན།",b
hsc-chemistry-12-130,CaF_{2}་གིས་གང་བའི་ཆུའི་རིགས་ནང་ Fluoride ions་གི་འཕར་ཚད་ 0.00655 gL^{-1}ཡོད་པ་ཅིན་ CaF_{2}་གི་གནས་ཚད་འདི་ག་དེམ་ཅིག་འོང་ནི་ཨིན་ན?,༡.༠ \times ༡༠^{-14} འདི་ ༡.༠ ལུ་ཡར་འཕར་འབདཝ་ཨིན།,༡.༠ \times ༡༠^{-7} འདི་ ༡.༠ ལུ་ཡར་གྱངས་ཁ་རྐྱབ་ཨིན།,༡.༠ \times ༡༠^{-12} འདི་ ༡.༠ ལུ་ཡར་གྱངས་ཁ་རྐྱབ་ཨིན།,༡.༠ \times ༡༠^{-15} འདི་ ༡.༠ ལུ་ཡར་འཕར་འབདཝ་ཨིན།,a
hsc-chemistry-12-131,ག་འདི་མེ་གིས་བརྟག་དཔྱད་འབད་མ་ཚུགསཔ་ཨིན་ན?,K_{p} = K_{c}(RT) ^{2} འདི་ ཀ་_{p} དང་ ཀ་_{c}^{2} ཚུ་འདྲཝ་ཨིན།,ཀ_{p} = ཀ_{c} (RT),ཀ_{p} = ཀ_{c},K_{p} = K_{c}(RT) ^[3},c
hsc-chemistry-12-132,ག་འདི་ནང་ལུ་ དུས་མཐུན་མཐུད་སྦྲེལ་མེདཔ་ཨིན་ན?,འ་ནི་གནས་གོང་དེ་ ༡ ཨིན།,འདི་གི་གནས་གོང་དེ་ དབང་པོ་ལུ་བརྟེན་ཏེ་ཨིན།,འདི་གི་གནས་གོང་འདི་ མནོ་བསམ་གཏང་ཐངས་ལུ་བརྟེན་ཨིན།,འདི་ལུ་མཐའ་མེད་པའི་རིན་གོང་ཡང་ཡོདཔ་ཨིན།,a
hsc-chemistry-12-133,འ་ནི་ Oppolar Solvent འདི་ག་ཨིནམ་ཨིན་ན?,CH_{3}COOH + HCO_{3}^{-} འདི་ ཀྲོང་གསར་ལུ་ཡོད་པའི་ ཀྲོང་གསར་ལུ་ཡོད་པའི་ ཀྲོང་གསར་ལུ་ཡོད་པའི་ ཀྲོང་གསར་ལུ་ཡོདཔ་ཨིན།,H_{2}CO_{3} + NaHCO_{3} ཚུ་དང་བསྡོམ་པ་ཅིན་,NH_{4}OH + NH_{4}Cl ཚུ་,CH_{3}COOH + CH_{3}COONa འདི་ཡང་ ཀོ་ཧོནཌི་ནའུནཌི་ནའུནཌི་ནའུནཌི་ནའུནཌི་ནའུནཌི་ནའུནཌི་,b
hsc-chemistry-12-134,ག་འདི་ཤུགས་ཅན་ཨསིཌ་ཨིན་ན?,SO_{2} འདི་ལུ་བལྟ་བ་ཅིན་,NaNO_{3} འདི་ལུ་,Na_{2}CO_{3} འདི་ལུ་བལྟ་བ་ཅིན་,NaCl,d
hsc-chemistry-12-135,འཐུང་ཆུ་གཙང་ཏོག་ཏོ་གི་ pOH འདི་ག་དེམ་ཅིག་ཡོདཔ་ཨིན་ན?,6-10%,12-17%,15-20%,20-25%,a
hsc-chemistry-12-136,H_{2}Oལུ་ ཨསིཊ་ག་ཏེ་ཡོདཔ་ཨིན་ན?,BHA,BHT,HCHO,EDTA,d
hsc-chemistry-12-138,i. Ionic bond ཚུ་,ལི་མཱན་,སྦ་སྒོར་,ནད་གཞི་,གཡས་ཁ་ཐུག་,c
hsc-chemistry-12-139,༢། དུས་མཐུན་གྱི་མཐུན་ལམ་,༦p,༥d,༤་ཨེཕ་,༧་ཚུ་,c
hsc-chemistry-12-140,གསུམ་པ་ མཐུད་སྦྲེལ་འབད་ཐངས་,3.7\times 10^{-13} འདི་ལུ་ བརྒྱ་ཆ་ ༡༠ ལུ་ཡར་འཕར་འབདཝ་ཨིན།,2.048\times 10^{-10} འདི་ ༡ གི་གནས་གོང་ཨིན།,3.7\times 10^{-12} འདི་ལུ་ཡར་འཕར་འབདཝ་ཨིན།,2.048\times 10^{-11} འདི་ལུ་ བསྒྱུར་བཅོས་འབད་དགོ་པ་ཅིན་,d
hsc-chemistry-12-141,འ་ནི་ཚུ་ལས་ག་འདི་བདེན་པ་ཨིན་ན?,ན,Be,ཀ་,ཀ་,b
hsc-chemistry-12-142,sp-hybrid གིས་ ཕྲ་རྡུལ་འདི་ ག་དེ་སྦེ་བཟོ་ནི་ཨིན་ན?,HBr,H_{2}S གིས་,BeCl_{2} འདི་ཡང་,ཀ་ཨེཕ་_{2},d
hsc-chemistry-12-144,ག་འདི་ཤུགས་ཅན་ཨསིཌ་ཨིན་ན?,HNO_{2} འདི་ལུ་,HNO_{3} འདི་ལུ་,H_{2}SO_{3} འདི་ལུ་བལྟ་བ་ཅིན་,H_{2}SO_{4} འདི་ལུ་བལྟ་བ་ཅིན་,d
hsc-chemistry-12-145,འཐུང་ཆུ་གཙང་ཏོག་ཏོ་གི་ pOH འདི་ག་དེམ་ཅིག་ཡོདཔ་ཨིན་ན?,14,7,1.4,0.7,b
hsc-chemistry-12-146,H_{2}Oལུ་ ཨསིཊ་ག་ཏེ་ཡོདཔ་ཨིན་ན?,OH^{-} འདི་ཡང་,H^{+} འདི་ཡང་,O^{2-} འདི་ཡང་,H_{3}^{+}O འདི་ཡང་,d
hsc-chemistry-12-148,i. Ionic bond ཚུ་,H_{2}SO_{4}+K_{2}Cr_{2}O_{7} འདི་ཡང་ ཌའི་ལོག་ནང་ལུ་ཨིན་,CH_{3}COOH+H_{2}O,HCl+CH_{3}COOH,CH_{3}COOH+H_{2}SO_{4} འདི་ཡང་ ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་,b
hsc-chemistry-12-149,༢། དུས་མཐུན་གྱི་མཐུན་ལམ་,ཨི་ཟོཊོན,ཨི་ཟོ་མཱར་,ཨི་སོ་བཱ་ར་,ཨི་ཟོཊོ་པི་,c
hsc-chemistry-12-150,གསུམ་པ་ མཐུད་སྦྲེལ་འབད་ཐངས་,ཨཱལ་ཕ་,\beta འདི་ཡང་,\gamma,X-ray,a
hsc-chemistry-12-151,འོག་ལུ་ཡོད་མི་ལས་ ག་འདི་བདེན་པ་ཨིན་ན་ཟེར་བ་ཅིན་,H^{-} འདི་ཡང་,ཧེ་^{2+}ལུ་,ལི་^{2+} འདི་ལུ་,བི་^{2+}ལུ་,c
hsc-chemistry-12-152,sp-hybrid གིས་ རྡུལ་ཕྲན་འདི་ ག་དེ་སྦེ་བཟོ་ནི་ཨིན་ན?,\frac{2n}{2h} འདི་ཡང་ ཌའི་ལོག་ནང་ལུ་ཨིན་,\frac{2h}{\pi}ལུ་ བསྒྱུར་བཅོས་འབདཝ་ཨིན།,\frac{n}{2\pi}ལུ་ བསྒྱུར་བཅོས་འབདཝ་ཨིན།,\frac{h}{\pi}ལུ་ བསྒྱུར་བཅོས་འབདཝ་ཨིན།,d
hsc-chemistry-12-154,i. p ཨིསི་ཊོ་པི་ཊཱལ་གཉིས་ཀྱི་བར་ནས,༥ ཚུན་,༣་ཨེཕ་,༢d,1p,a
hsc-chemistry-12-155,༢། p དང་ s གི་བར་ནའི་ ཕྱོགས་ཐིག་,ཨོཕ་བཱུ་གི་སྲིད་བྱུས་,ཀཝཱནཊ་གི་ནུས་པ་,བོ་རའི ་ ཨོཊ་མིཀ་དཔེ་ཚད་,ར་དཱེར་ཕོརཌ་གི་གློག་རྡུལ་དཔེ་ཚད་,b
hsc-chemistry-12-156,གསུམ་པ་ ཟུར་སྦྲེལ་གྱི་འཁོར་ལམ་གཉིས་ཀྱི་བར་ན་,i དང་ ii,i དང་ iii,ii དང་ iii,"i, ii དང་ iii ཚུ་ཨིན།",d
hsc-chemistry-12-157,འོག་ལུ་ཡོད་མི་ལས་ ག་འདི་བདེན་པ་ཨིན་ན་ཟེར་བ་ཅིན་,པི་རཱེམ་ཌི་ཡཱན་,ཟུར་ཐིག་གསུམ་སྦེ་བཟོ་མི་ ཟུར་ཐིག་གསུམ་,ཐིག་ཁྲམ་ཕྲ་རིང་,ཟུར་བཞི་འབད་མི་,c
hsc-chemistry-12-159,i. བཞེས་སྒོ་ནང་ཡོད་མི་ ནད་འབུབ་དེ་ཚུ་ རྩ་མེད་གཏང་ནི་,MgCl_{2},BeCl_{2} འདི་ཡང་,NaCl,LiCl,b
hsc-chemistry-12-160,༢། ཟ་ནི་གི་སྤྲོ་བ་འདི་ཡར་འཕར་འགྱོཝ་ཨིན།,༥ ཚུན་,༤d,༤་པི་,༥p,c
hsc-chemistry-12-161,གསུམ་པ་ ཁྲག་ཤུགས་མར་ཕབ་རྐྱབ་ཨིན།,0.1,1,1.3,2,b
hsc-chemistry-12-162,འོག་ལུ་ཡོད་མི་ལས་ ག་འདི་བདེན་པ་ཨིན་ན་ཟེར་བ་ཅིན་,i,ii,གསུམ་པ་,"i, ii དང་ iii ཚུ་ཨིན།",a
hsc-chemistry-12-163,ག་འདི་ཤུགས་ཆེ་ཤོས་ཅིག་ཨིནཊ་?,pHའདི་ཡར་འཕར་འགྱོ་འོང་།,pHའདི་གནས་སོར་འགྱོ་མི་ཚུགས།,H_{+} འདི་ཡར་འཕར་འགྱོ་འོང་།,OH^{-} གིས་ ཨའོན་གི་ལྗིད་ཚད་མར་ཕབ་འབདཝ་ཨིན།,b
hsc-chemistry-12-164,ག་འདི་ཆུའི་ནང་མགྱོགས་པ་རང་བཞུ་ཚུགས་ནི་ཨིན་ན?,རཱད་རར་ཕོརཌ་,ཐཱོམ་སོན་,ཌཱལ་ཊོན་,བོ་ར་,d
hsc-chemistry-12-165,[Zn(NH_{3}) _{4}]^{2+}ལུ་ Znགི་འཕར་ཚད་འདི་ག་དེམ་ཅིག་ཡོདཔ་ཨིན་ན?,ནད་བཅོས་འབད་ཐངས་,ཀ་ནི་ཚུ་,དྭངས་གསལ་བཟོ་ནི་,པི་ཀཱལིང་།,d
hsc-chemistry-12-166,ཀི་བཱའིན་ཌིང་གི་གནས་གོང་འདི་ ཀི་བཱའིན་ཌིང་གི་གནས་གོང་འདི་ཨིན།,བི་ < བི་,Mg < Al,F > Ne,Mg > Na,c
