Question No.,Question,a,b,c,d,Correct Answer
hsc-advanced_chemistry-12-93,"Fe²⁺ + Sn⁴⁺ → Fe³⁺ + Sn²⁺
འགྱུར་བ་དེ་ནང་-
i. Fe²⁺ བཅུག་རྫས།
ii. Sn⁴⁺ བཅུག་རྫས་འགྱུར་བ།
iii. Sn²⁺ གློག་རྡུལ་བཏང་བ།
གཤམ་གྱི་གང་དོན་དུ་འཛིན་པར་བྱེད་དམ།",i དང་ ii,ii དང་ iii,i དང་ iii,"i, ii དང་ iii",a
hsc-advanced_chemistry-12-94,གང་ཞིག་ཆེས་དམའ་བའི་དྲོད་ཚད་ཡིན་ནམ།,0°C,25°C,273K,#NAME?,d
hsc-advanced_chemistry-12-95,0.5F = གང་ཙམ་ཀུ་ལོམ་བ།,"48,250 C","96,500 C","1,93,000 C","2,89,500 C",a
hsc-advanced_chemistry-12-96,"CH₃COOH(aq) + KOH(aq) → CH₃COOK(aq) + H₂O
འགྱུར་བ་དེ་ནང་ངོས་འཛིན་བྱེད་པ་གང་ཡིན་ནམ།",མེ་ཐིལ་ཨོ་རེན་ཇེ།,ཕེ་ནོལ་ཕྲེ་ཐེ་ལིན།,མེ་ཐིལ་རེཌ།,གང་རུང་ངོས་འཛིན་བྱེད་པ།,b
hsc-advanced_chemistry-12-97,ཀོལ་ཁང་ས་ཁུལ་གྱི་ཨེ་སིཌ་ཆུ་ཆར་གྱི་ pH ཚད་གང་ཡིན་ནམ།,5.6 - 3.5,6.5 - 4.5,6.6 - 3.8,5.6 - 4.7,a
hsc-advanced_chemistry-12-98,"FeSO₄ + KMnO₄ + H₂SO₄ → Fe₂(SO₄)₃ + K₂SO₄ + MnSO₄ + H₂O
འགྱུར་བ་དེ་ནང་བཅུག་རྫས་དང་སྐྱེད་རྫས་ཀྱི་མོ་ལེ་གྲངས་ཀྱི་ཚད་གང་ཡིན་ནམ།",5:02,1:05,5:01,2:05,c
hsc-advanced_chemistry-12-99,"1°, 2° དང་ 3° ཨཱལ་ཀོ་ཧོལ་གྱི་ཁྱད་པར་ངོས་འཛིན་བྱེད་པར་གང་ཞིག་བེད་སྤྱོད་བྱེད་དམ།",ཊོ་ལེན་བེད་སྤྱོད་བྱེད་པ།,གྲི་གྲི་ནར་ཌི་བེད་སྤྱོད་བྱེད་པ།,ལུ་ཀས་བེད་སྤྱོད་བྱེད་པ།,ཕེ་ལིང་བེད་སྤྱོད་བྱེད་པ།,c
hsc-advanced_chemistry-12-100,ཚད་མཚུངས་ 0.1 M NaOH དང་ 0.1 H₂SO₄ དྲོབ་སྦྱོར་གྱི་རང་བཞིན་གང་ཡིན་ནམ།,གནས་སྟངས་མེད་པ།,གཉིས་ཀྱི་རང་བཞིན།,སྤྱི་ཚད་ཨེ་སིཌ།,སྤྱི་ཚད་ཀྲུང་ཆུང་།,c
hsc-advanced_chemistry-12-101,གང་ཞིག་ལུའི་སི་ཀྲུང་གི་ཀྲུང་ཆུང་ཡིན་ནམ།,BF₃,AlCl₃,H₂O,FeCl₃,c
hsc-advanced_chemistry-12-102,"གློག་རྩ་རིག་པའི་ཀོ་ཤུ་ནང་-
i. ཀེ་ཐོ་ཌེ་ནས་ཨེ་ནོ་ཌེ་ལ་གློག་འཁོར་བ།
ii. གློག་ཤུགས་རྩ་རིག་པའི་ཤུགས་སུ་འགྱུར་བ།
iii. ཨེ་ནོ་ཌེ་ལ་སྐྱེད་རྫས་འགྱུར་བ།
གཤམ་གྱི་གང་དོན་དུ་འཛིན་པར་བྱེད་དམ།",i དང་ ii,ii དང་ iii,i དང་ iii,"i, ii དང་ iii",d
hsc-advanced_chemistry-12-103,"P + O₃ (CCl₄) → A (Zn/H₂O) → B + C
C-ཡོ་ཆས་ཀྱི་ཀར་བོན་གསུམ་ཡོད་པའི་ཀི་ཊོན།
P ཡོ་ཆས་གང་ཡིན་ནམ།",(CH₃)₂C=CH₂,CH₃-CH₂-CH=CH₂,CH₃-CH(CH₃)CH₃,CH₃-CH=CH-CH₃,a
hsc-advanced_chemistry-12-104,"P + O₃ (CCl₄) → A (Zn/H₂O) → B + C
C-ཡོ་ཆས་ཀྱི་ཀར་བོན་གསུམ་ཡོད་པའི་ཀི་ཊོན།
i. B དང་ C གཉིས་ 1° ཨཱལ་ཀོ་ཧོལ་ནས་བཟོ་ཐུབ།
ii. C-ཡོ་ཆས་ཕེ་ལིང་དྲོབ་སྦྱོར་དང་འགྱུར་བ་མེད།
iii. B དང་ C གཉིས་ཀར་བོན་ཡོ་ཆས་ཡིན།
གཤམ་གྱི་གང་དོན་དུ་འཛིན་པར་བྱེད་དམ།",i དང་ ii,ii དང་ iii,i དང་ iii,"i, ii དང་ iii",b
hsc-advanced_chemistry-12-105,0.98 M NaCO₃ དྲོབ་སྦྱོར་གྱི་ཚོས་གང་ཡིན་ནམ།,9.8,10.39,13.52,15.42,b
hsc-advanced_chemistry-12-106,གཤམ་གྱི་གང་ཞིག་ཧེ་ལོ་ཕོརམ་འགྱུར་བ་མེད་པ།,CH₃CHOHCH₃,CH₃CONH₂,CH₃CHO,CH₃COCH₃,b
hsc-advanced_chemistry-12-107,"RMgX + CO₂ → A (H⁺/H₂O) → B
B ཡོ་ཆས་གང་ཡིན་ནམ།",དང་པོའི་ཨཱལ་ཀོ་ཧོལ།,ཀི་ཊོན།,ཨེལ་ཌི་ཧའིཌི།,རྩ་རིག་པའི་ཨེ་སིཌ།,d
hsc-advanced_chemistry-12-108,གང་ཞིག་གི་དྲོད་ཚད་ནང་རླུང་གི་ཚུགས་ཀླད་ཀོར་ཡིན་ནམ།,0°C,25°C,273K,-273°C,d
hsc-advanced_chemistry-12-109,"5H₂C₂O₄ + 2KMnO₄ + 3H₂SO₄ → 10C₂ + 2MnSO₄ + 8H₂O + K₂SO₄
འགྱུར་བ་དེ་ནང་གློག་རྡུལ་གང་ཙམ་འགྲུབ་དམ།",2,5,6,10,d
hsc-advanced_chemistry-12-110,"5H₂C₂O₄ + 2KMnO₄ + 3H₂SO₄ → 10C₂ + 2MnSO₄ + 8H₂O + K₂SO₄
i. H₂SO₄ སྐྱེད་རྫས།
ii. KMnO₄ ནང་ Mn ཡི་སྐྱེད་གྲངས་ = +7
iii. H₂C₂O₄ བཅུག་རྫས།
གཤམ་གྱི་གང་དོན་དུ་འཛིན་པར་བྱེད་དམ།",i དང་ ii,i དང་ iii,ii དང་ iii,"i, ii དང་ iii",c
hsc-advanced_chemistry-12-111,WHO ཡི་ཆོག་མཆན་ཡོད་པའི་ COD ཡི་ཆེས་མཐོ་ཚད་གང་ཡིན་ནམ།,6 mg/L,6 g/L,10 mg/L,10 g/L,c
hsc-advanced_chemistry-12-112,"Fe²⁺ + Cr₂O₇²⁻ + H⁺ → 'A' + Cr²⁺ + H₂O
i. Cr₂O₇²⁻ བཅུག་རྫས་འགྱུར་བ།
ii. Fe²⁺ བཅུག་རྫས།
iii. Cr₂O₇²⁻ གློག་རྡུལ་ 5 ཐོབ་པ།
གཤམ་གྱི་གང་དོན་དུ་འཛིན་པར་བྱེད་དམ།",i དང་ ii,ii དང་ iii,i དང་ iii,"i, ii དང་ iii",a
hsc-advanced_chemistry-12-113,"Fe²⁺ + Cr₂O₇²⁻ + H⁺ → 'A' + Cr²⁺ + H₂O
10mL 0.05M སྐྱེད་རྫས་དྲོབ་སྦྱོར་བཅུག་རྫས་སུ་འགྱུར་བར་གང་ཙམ་ཌེ་སི་མོ་ལར་བཅུག་རྫས་དྲོབ་སྦྱོར་དགོས་དམ།",10mL,20mL,30mL,40mL,c
hsc-advanced_chemistry-12-114,"C₆H₅NH₂ + CHCl₃ + KOH → C₆H₅(NC) + KCl + H₂O
འགྱུར་བ་དེ་གང་ཡིན་ནམ།",ཀེ་ནི་ཛརོ་འགྱུར་བ།,ཀར་བིལ་ཨེ་མིན་བརྟག་དཔྱད།,ཀོབ་འགྱུར་བ།,ཕྲི་ཌེལ་-ཀྲཱཕྟ་འགྱུར་བ།,b
hsc-advanced_chemistry-12-115,"རླུང་གི་འཕར་བའི་མྱུར་ཚད་གང་ལ་རག་ལས་པ།
i. མོ་ལར་ཚད།
ii. དྲོད་ཚད།
iii. ཚད་གྲངས།
གཤམ་གྱི་གང་དོན་དུ་འཛིན་པར་བྱེད་དམ།",i དང་ ii,ii དང་ iii,i དང་ iii,"i, ii དང་ iii",d
hsc-advanced_chemistry-12-116,གཤམ་གྱི་གང་ཞིག་ནུ་ཀླི་ཨོ་ཕིལ་འགྱུར་བ་འགྲུབ་པ།,CH₂=CH₂,CH≡CH,CH₃COOH,CH₃CHO,d
hsc-advanced_chemistry-12-117,"ཨེལ་ཌི་ཧའིཌི་དང་ཀི་ཊོན་གྱི་ཁྱད་པར་ངོས་འཛིན་བྱེད་པར་གང་ཞིག་བེད་སྤྱོད་བྱེད་དམ།
i. ཊོ་ལེན་བེད་སྤྱོད་བྱེད་པ།
ii. 2 : 4 - DNPH
iii. ཕེ་ལིང་དྲོབ་སྦྱོར།
གཤམ་གྱི་གང་དོན་དུ་འཛིན་པར་བྱེད་དམ།",i དང་ ii,ii དང་ iii,i དང་ iii,"i, ii དང་ iii",c
hsc-advanced_chemistry-12-118,Zn/Zn²⁺ (E° = 0.76V) ཨེ་ནོ་ཌེ་ཡིན་ན་གཤམ་གྱི་གང་ཞིག་ཀེ་ཐོ་ཌེ་ལྟར་བེད་སྤྱོད་བྱེད་ཐུབ་དམ།,Co/Co²⁺ (E° = +0.28V),Mg/Mg²⁺ (E° = +2.36V),Ca/Ca²⁺ (E° = +2.87V),Al/Al³⁺ (E° = +1.66V),a
hsc-advanced_chemistry-12-119,"གློག་དབྱིབས་ཀྱི་ཤུགས་དབྱིབས་གང་ལ་རག་ལས་པ།
i. ལྕགས་རྫས་ཀྱི་རང་བཞིན།
ii. གློག་བཙོ་བཤོར་གྱི་ཚད་གྲངས།
iii. དྲོབ་སྦྱོར་གྱི་དྲོད་ཚད།
གཤམ་གྱི་གང་དོན་དུ་འཛི",,,,,
hsc-advanced_chemistry-12-120,500 mL 0.05M H₂SO₄ འདི་ཡི་མང་ཚད ppm ཡང་གིས་གང་ཡིན་ནམ།,2450 ppm,2450000 ppm,490000 ppm,4900 ppm,D
hsc-advanced_chemistry-12-121,22g CO₂ གི་རྩ་སྲིད་སྦྲེལ་བའི་གོ་སྐབས་ལོགས་སྦྱོར་བྱེད་པ་གང་ཡིན།,2PV = RT,PV = 2RT,PV = 22RT,PV = RT,A
hsc-advanced_chemistry-12-122,གང་ཡིན་འདི་མཐར་སྦྲེལ་བའི་རྩ་སྲིད་སྦྲེལ་བ།,གསར་བཟོས་པའི་ཆུ,CH₃COOH,སུཀ་རོཛ།,H₂SO₄ འདི་ཡི་བཟོ་དཔོན་སྦྱོར་པ།,D
hsc-advanced_chemistry-12-123,མི་ཐག་གཡོ་སྟོན་འདི་ཡི་སྡུད་ཚད་གང་ཡིན།,3.1-4.4,4.2-6.3,6.0-8.0,8.2-9.8,A
hsc-advanced_chemistry-12-124,1 མོལ་ཨི་ལེཀ་ཊྲོན་གི་ཡིག་མཛོད་གང་ཡིན།,1.602 × 10⁻¹⁹ ཀུ་ལོམབྷ།,1.602 × 10⁻¹⁹ × 6.022 × 10²³ ཀུ་ལོམབྷ།,6.022 × 10²³ ཀུ་ལོམབྷ།,196500 ཀུ་ལོམབྷ།,B
hsc-advanced_chemistry-12-125,25°C གི་དྲོད་ཚད་ལུ་ 14g N₂ གི་གཏི་མུག་གང་ཡིན།,1.8588 J,18.588 J,185.88 J,1858.8 J,D
hsc-advanced_chemistry-12-126,H₂CO₃ + H₂O ⇌ HCO₃⁻ + H₃O⁺; འདི་ཡི་འགྲེལ་བཤད་གང་ཡིན།,H₂CO₃ གི་འགྲེལ་བཤད་དངོས་ཆུང་ HCO₃⁺,H₂O གི་འགྲེལ་བཤད་དངོས་ཆུང་ H₃O⁺,H₂CO₃ གི་འགྲེལ་བཤད་དངོས་ཆུང་ HCO₃⁻,H₂O ཡི་བཀའ་བསྒྲུབ་སྦྱོར་བྱེད་པ།,A
hsc-advanced_chemistry-12-127,1 atm = ག་དེ་ཅིག་ལུ་ པ་སག་ལཱལ་ཟེར་ཨིན་ན?,1.01325\times 10^{-2} Pa,1.01325\times 10^{-5} Pa,1.01325\times 10^{-5} Pa,1.01325\times 10^{-5} Pa,c
hsc-advanced_chemistry-12-128,བེན་ཇིན་འདི་ COOCH_{3} ཟེར་མི་གི་མིང་དང་འབྲེལ་ཏེ་ཨིན།,,,,,
hsc-advanced_chemistry-12-129,གཞི་རྟེན་གནས་ཚད་ཀྱི་ རྒྱུ་རྫས་འདི་ག་ཅི་ཨིན་ན?,Na_2CO_{3},Na_2S_2O_{3},H_{2}SO_{4},KMnO_{4},a
hsc-advanced_chemistry-12-130,ཧཱུྃ་ཧྲཱིཿནང་ལུ་ ཕྲ་རིང་འདི་ ག་བཟུམ་ཅིག་ཡོདཔ་སྨོ?,HClO,HClO_2,HClO_{3},HClO_{4},d
hsc-advanced_chemistry-12-131,CH_{3}CH_{2}CH_{2}Br + KOH (alc) \xrightarrow{\Delta} 'A' + KBr + H_{2}O,i. སྟབས་མ་བདེཝ་ཡོད་པའི་ ཨལ་ཁེ་ནིན་,ii གིས་ ཚད་རིས་ཀྱི་དབྱིབས་ཚུ་ སྟོན་འབདཝ་ཨིན།,iii གིས་ གྲོས་ཆོད་ལུ་ ཚོས་གཞི་མེདཔ་བཟོ་ནུག,"i, ii, iii",c
hsc-advanced_chemistry-12-132,Ag གི་གློག་རག་བཟོ་སྦྱོར་འདི་,1.01118\times 10^{-3}gC^{-1},1.118\times 10^{-3}gC^{-1},0.10118\times 10^{-3}gC^{-1},0.010118\times 10^{-3}gC^{-1},b
hsc-advanced_chemistry-12-133,3H_{2}S + 2HNO_{3} \rightarrow 2NO + 3S + 4H_{2}O གི་གནས་སྟངས་ནང་ལུ་ H_{2}S གི་འགན་ཁུར་འདི་ག་ཅི་ཡོདཔ་ཨིན་ན?,Jark,Bjark,Titrate,Titrant,b
hsc-advanced_chemistry-12-134,གློག་རིག་གི་དབྱེ་ཞིབ་ནང་ ག་འདི་ཧེ་མ་གློག་བཏོན་འབད་ནི་ཨིན་ན?,Cu^{2+},H^+,Pb^{2+},Na^+,a
hsc-advanced_chemistry-12-135,མེ་རླུང་རྒྱ་རྫི་ ༡ གི་ཤུགས་ཚད་འདི་ཨིན།,,,,,
hsc-advanced_chemistry-12-136,Zn གི་ཨོ་ཟི་ནའི་ནུས་པ་ག་དེམ་ཅིག་ཡོདཔ་སྨོ?,-0.76V,#ERROR!,-0.34V,#ERROR!,b
hsc-advanced_chemistry-12-137,NO_2^- ཨའི་ཨོནསི་གི་བར་ནང་ཚུད་མི་ ཨེསི་ཌི་འདི་,HNO_{3},HNO_2,HN{O_2}^-,N{O_{3}}^-,b
hsc-advanced_chemistry-12-138,མདངས་མེད་རླུང་གི་རྩིས་གཞི་འདི་ག་ཅི་ཡོདཔ་སྨོ?,PV = nRT,PV = \frac{1}{3}mNC^2,PV = T,P_1V_1 = P_2V_2,a
hsc-advanced_chemistry-12-139,སེམ་མོ་ལ་རྦ་ག་འདི་ག་ཅི་ཨིན་ན?,0.1M,0.05M,0.01M,0.5M,d
hsc-advanced_chemistry-12-140,འདི་ཡང་ Semi-conductor ཅིག་སྦེ་ལག་ལེན་འཐབ་ཡོདཔ་ཨིན།,,,,,
hsc-advanced_chemistry-12-142,AgNO_{3}འ་དྲོ་འདི་ ཀ་ཐོཌ་ནང་ལུ་ ༡་མོ་ལཱི་ Agབཙུག་ནིའི་དོན་ལུ་ Farad ག་དེ་ཅིག་ལུ་གློག་ཤུགས་བཏོན་དགོཔ་ཨིན་ན?,1F,2F,3F,4F,a
hsc-advanced_chemistry-12-143,Fe^{2+} + Sn^{4+} \rightleftharpoons Fe^{3+} + Sn^{2+}; འདི་གིས་ i. Fe^{2+}འདི་ བརླག་སོང་ཡོདཔ་ཨིན། ༢། Sn^{2+}འདི་ སྦྲེལ་རྟགས་ཨིན། གསུམ་པ་ Fe^{3+} གིས་གློག་རྡུལ་གཅིག་ལེན་ནུག,iདང་ ii,iiདང་ iii,iདང་ iii,"i, ii, iii",a
hsc-advanced_chemistry-12-144,alkyne གྱི་ སྤྱིར་བཏང་བརྡ་སྟོན་འདི་ག་ཅི་ཨིན་ན?,C_nH_{2n+2},C_nH_{2n+1},C_nH_{2n},C_nH_{2n-2},c
hsc-advanced_chemistry-12-145,ས་ཊི་པི་གི་གནས་ཚད་དེ་ ཀེལ་ཝཱིན་ག་དེ་ཅིག་ཡོདཔ་ཨིན་ན?,༢༧༣,༢༧༨,༢༩༣,༢༩༨,d
hsc-advanced_chemistry-12-146,KMnO_{4}ལུ་ Mn གི་ཨོ་ཟི་ནའི་གནས་གོང་ག་དེམ་ཅིག་ཡོདཔ་ཨིན་ན?,\text{+ 7},\text{+ 5},\text{+ 6},\text{+ 7},d
hsc-advanced_chemistry-12-147,ཆུ་ཚོད་༥༠ གི་རིང་ལུ་ ལྕགས་ཀྱི་སེལཔ་ནང་ གློག་ཤུགས་མེ་ག་ཝཱཊ་༥༠༠ བཙུགས་པ་ཅིན་ ལྕགས་ཀྱི་སེལཔ་ག་དེམ་ཅིག་ འཐོབ་ཚུགས་ནི་ཨིན་ན?,0.29 g,0.39 g,0.49 g,0.59 g,c
hsc-advanced_chemistry-12-148,glyceraldehydeནང་ལུ་ ཀའི་རཱལ་ཨེན་ག་ཚོད་ཡོདཔ་ཨིན་ན?,གཅིག་,གཉིས་,གསུམ་,བཞི་,
hsc-advanced_chemistry-12-149,གཞི་རྟེན་གནས་ཚད་ཀྱི་ རྒྱུ་རྫས་འདི་ག་ཅི་ཨིན་ན?,KMnO_{4},K_{2}Cr_{2}O_{7},NaOH,H_{2}SO_{4},b
hsc-advanced_chemistry-12-150,བརྡ་འཕྲུལ་དབྱེ་རིམ་ནང་དུ་ག་ཚོད་ཨེ་ལི་ངོས་སུ་རྟགས་འབེབ་དགོས་པ་ཡིན་ནའི་ཨེ་ལི་ངོས་སྡུད་འདི་ཡིན་ནམ།?,3 mol,4.5 mol,6 mol,1.5 mol,c
hsc-advanced_chemistry-12-151,ག་གིས་ཀ་རྦོན-ཀ་རྦོན་གཅིག་གི་ཚིག་མཛོད་ཡོད་མི་ཡིན་ནམ།?,C₂H₄,C₂H₂,C₂H₆,C₆H₆,c
hsc-advanced_chemistry-12-152,ག་གིས་ལྷག་ཏུ་ནུས་པ་ཅན་གྱི་སྐྱོན་ཡོད་མི་ཡིན་ནམ།?,NaOH,KOH,Ca(OH)₂,NH₄OH,b
hsc-advanced_chemistry-12-153,བརྡ་འཕྲུལ་དབྱེ་རིམ་ཀྱི་དུས་སྐབས་དཀར་སྦུབ་དུ་ག་གིས་བྱུང་ཡོད་མི་ཡིན་ནམ།?,འབར་བ།,མི་འབར་བ།,གནོན་སྒྲིག་བྱེད་པ།,གནོན་སྒྲིག་འགོད་པ།,c
hsc-advanced_chemistry-12-154,H₂SO₄ དང་མཉམ་ H⁺ ཨའི་ཡོན་གྱི་གོ་སྒྲིག་ལེབ་ག་གི་ཡིན་ནམ།?,1M,2M,0.5M,0.1M,b
hsc-advanced_chemistry-12-155,ཆུ་དུས་ཚོད་ག་ཚོད་ཡིན་ནའི་གོ་བྱོད་གཅིག་ཡོད་མི་ཡིན་ནམ།?,0°C,4°C,25°C,100°C,b
hsc-advanced_chemistry-12-156,ག་གིས་ཨ་སི་ཏིཀ་ ཨེསིཌ་ཡིན་ནམ།?,CH₃COOH,C₂H₅OH,HCOOH,C₆H₆,a
hsc-advanced_chemistry-12-157,Na₂CO₃ + HCl → ?,NaCl + CO₂ + H₂O,NaHCO₃,NaOH + CO₂,H₂O + CO₂,a
hsc-advanced_chemistry-12-158,ག་གིས་པོ་རེ་མེ་རི་ཡིན་ནམ།?,CH₃OH,CH₃CH₂OH,CH₃CH(OH)CH₃,CH₃CH₂CH₂OH,b
hsc-advanced_chemistry-12-159,ག་གིས་ཧར་ཊེ་ཨེལ་སྒྲིག་འདུག་མི་ཡིན་ནམ།?,Na,K,Ca,Li,b
hsc-advanced_chemistry-12-160,H₂ + Cl₂ → 2HCl གི་ཚོད་ལྟ་གཏོང་བ་ག་གི་རྣམ་གྲངས་རེད།?,མི་འབར་བ།,འབར་བ།,གཉིས་ཀར་ཡོད་མི།,ཨེསིཌ-ཨེཆའི་ཚོད་ལྟ།,c
hsc-advanced_chemistry-12-161,SO₂ ག་གིས་ཨོཀ་སའིཌ་དབྱེ་རིམ་གཏོང་བ་ཡིན་ནམ།?,ཨེསིཌིཀ་,བེསིཌིཀ་,ཨེམཕོ་ཊེ་རིཀ་,མངོན་བཀོད་,a
hsc-advanced_chemistry-12-162,ག་གིས་ཕར་ཌེ་སྒྲིག་འདུག་མི་ཡིན་ནམ།?,V = IR,PV = nRT,W = ZIt,Q = mcΔT,c
hsc-advanced_chemistry-12-163,ག་གིས་ལྷག་ཏུ་རྨད་བཅའ་མེད་པ་ཡིན་ནམ།?,CH₄,CH₃Cl,C₂H₆,CH₃OH,a
hsc-advanced_chemistry-12-164,ནཱའི་ཏེར་ཇེན་གི་འབར་བ་རྒྱུ་ཆ་ཡིན་ནམ། NH₄⁺?,-3,-1,3,1,a
hsc-advanced_chemistry-12-165,NaHCO₃ + HCl → ?,NaCl + CO₂ + H₂O,NaOH,Na₂CO₃,NaCl + H₂O,a
hsc-advanced_chemistry-12-166,ག་གིས་རེདོཀསི་ཚོད་ལྟ་ཡིན་ནམ།?,NaCl → Na⁺ + Cl⁻,Zn + 2HCl → ZnCl₂ + H₂,HCl + NaOH → NaCl + H₂O,AgNO₃ + NaCl → AgCl + NaNO₃,b
hsc-advanced_chemistry-12-167,1 mol ཨའི་ཡོན་ག་ཚོད་ལི་ཊར་མི་ཡིན་ནམ།?,11.2 L,22.4 L,33.6 L,21.4 L,b
hsc-advanced_chemistry-12-168,CH_3-C\equiv C-H + H_{2} \frac{Pb-BaSO_{4}}{ }\rightarrow A; A ཡྱི་ཅརྦྱིགས,CH_3-CH_{2}-CH_3,CH_3-CH=CH_W,CH_3-CH_{2}-COOH,CH_3-CH(OH)-CH_3,B
hsc-advanced_chemistry-12-169,0.5 HNO₃ ཡི་ཚད་ ppm ཡི་ཚོས་གང་ཡིན་ནམ།,31500,41500,53500,63500,a
hsc-advanced_chemistry-12-170,"Na₂S₂O₃ + I₂ → ཐོན་རྫས།
འགྱུར་བ་དེ་ནང་-
Na₂S₂O₃ སྐྱེད་རྫས།
I₂ བཅུག་རྫས་འགྱུར་བ།
ཨའི་ཡོ་ཌིན་གྱི་སྐྱེད་གྲངས་ཀྱི་འཕར་བ།
S ཡི་སྐྱེད་གྲངས་ཀྱི་ཆུང་བ།",Na₂S₂O₃ སྐྱེད་རྫས།,I₂ བཅུག་རྫས་འགྱུར་བ།,ཨའི་ཡོ་ཌིན་གྱི་སྐྱེད་གྲངས་འཕར་བ།,S ཡི་སྐྱེད་གྲངས་ཆུང་བ།,b
hsc-advanced_chemistry-12-171,12% (w/v) Na₂CO₃ དྲོབ་སྦྱོར་གྱི་ཚད་མོ་ལར་ཡི་ཚོས་གང་ཡིན་ནམ།,1.13,1.31,0.11,1.2,a
hsc-advanced_chemistry-12-172,པར་ཀློ་རིཀ་ཨེ་སིཌ་ཡི་སྦྱོར་ཆ་གཙོ་བོའི་སྐྱེད་གྲངས་གང་ཡིན་ནམ།,1,3,5,7,d
hsc-advanced_chemistry-12-173,དང་པོའི་ཨེ་མིན་ངོས་འཛིན་བྱེད་པར་གང་ཞིག་བེད་སྤྱོད་བྱེད་དམ།,CHCl₃ + KOH,Br₂ + KOH,Cu(OH)₂ + NaOH,KMnO₄ + KOH,a
hsc-advanced_chemistry-12-174,སུ་ཀྲོས་ཀྱི་དྲོབ་སྦྱོར་གང་ཡིན་ནམ།,གློག་བཙོ་བཤོར་ཡིན།,གློག་བཙོ་བཤོར་མིན།,གློག་རྡུལ་འགྲུབ་པ།,ལྕགས་མིན་འགྲུབ་པ།,b
hsc-advanced_chemistry-12-175,གང་ཞིག་གི་གློག་རྩ་རིག་པའི་མཚུངས་ཚད་ཆེས་མཐོ་ཡིན་ནམ།,Cu,Ag,Zn,Fe,b
hsc-advanced_chemistry-12-176,གང་ཞིག་ཊོ་ཊོ་མེ་རི་ཇིམ་སྟོན་པར་བྱེད་དམ།,བི་ཡུ་ཐན-2-ཨིན།,ཌའི་ཨེ་ཐེནོལ་ཨེ་ཐར།,པྲོ་པེ་ནོན།,ཨེ་ཐེནོལ།,c
hsc-advanced_chemistry-12-177,གང་ཞིག་ཧེ་ཀེལ་གྲངས་མིན་ནམ།,2,4,6,10,b
hsc-advanced_chemistry-12-178,"ཚད་ལྡན་རླུང་གི་མཚོན་རྟགས་-
i. PV = nRT
ii. (du/dv)T = 0
iii. STP དུ་མོ་ལར་ཚུགས་ 22.414L
གཤམ་གྱི་གང་དོན་དུ་འཛིན་པར་བྱེད་དམ།",i དང་ ii,i དང་ iii,ii དང་ iii,"i, ii དང་ iii",d
hsc-advanced_chemistry-12-179,"ཨེ་ཐིན་དང་ཨེ་ཐའིན་གྱི་ཁྱད་པར་ངོས་འཛིན་བྱེད་པར་གང་ཞིག་བེད་སྤྱོད་བྱེད་དམ།
i. [Ag(NH₃)₂]NO₃
ii. [Cu(NH₃)₂]Cl
iii. Br₂ + CCl₄
གཤམ་གྱི་གང་དོན་དུ་འཛིན་པར་བྱེད་དམ།",i དང་ ii,i དང་ iii,ii དང་ iii,"i, ii དང་ iii",d
hsc-advanced_chemistry-12-180,གང་ཞིག་ཀེ་ཐོ་ཌེ་ལ་ཐོག་མར་གློག་རྡུལ་སྤང་བར་བྱེད་དམ།,Ni²⁺,Cu²⁺,Zn²⁺,Na⁺,b
hsc-advanced_chemistry-12-181,AgNO₃ དྲོབ་སྦྱོར་ནང་ 3000C གློག་དྲོད་འཁོར་ན་ཀེ་ཐོ་ཌེ་ལ་གང་ཙམ་ Ag གཞི་བཙུགས་བྱེད་དམ། [Ag = 108],3.3575,2.3575,0.3357,0.2357,a
hsc-advanced_chemistry-12-182,རྩ་རིག་པའི་ཡོ་ཆས་ཀྱི་ཀར་བོན་གྲངས་ཆུང་བར་བྱེད་པའི་ཐབས་ལམ་གང་ཡིན་ནམ།,ཝོར་ཊི་འགྱུར་བ།,ཀར་བིལ་ཨེ་མིན་འགྱུར་བ།,ཌི་ཀར་བོན་འགྱུར་བ།,ཝི་ལི་ཡམ་སན་འགྱུར་བ།,c
hsc-advanced_chemistry-12-183,གང་ཞིག་དོན་ལྡན་ཡིན་ནམ།,E°{ཀོ་ཤུ} = E°{ཨེ་ནོ་ཌེ (སྐྱེད་རྫས)} + E°_{ཀེ་ཐོ་ཌེ (སྐྱེད་རྫས)},E°{ཀོ་ཤུ} = E°{ཨེ་ནོ་ཌེ (སྐྱེད་རྫས)} - E°_{ཀེ་ཐོ་ཌེ (བཅུག་རྫས)},E°{ཀོ་ཤུ} = E°{ཨེ་ནོ་ཌེ (སྐྱེད་རྫས)} + E°_{ཀེ་ཐོ་ཌེ (བཅུག་རྫས)},E°{ཀོ་ཤུ} = E°{ཨེ་ནོ་ཌེ (སྐྱེད་རྫས)} - E°_{ཀེ་ཐོ་ཌེ (བཅུག་རྫས)},c
hsc-advanced_chemistry-12-184,"ཨེལ་ཌི་ཧའིཌི་ + ཕེ་ལིང་དྲོབ་སྦྱོར་ => དམར་པོའི་གཏིང་ཕབ།
འགྱུར་བ་དེ་གང་ཡིན་ནམ།",བརྗེ་རེས་འགྱུར་བ།,སྦྱོར་བའི་འགྱུར་བ།,སྐྱེད་རྫས་-བཅུག་རྫས་འགྱུར་བ།,སྤང་བའི་འགྱུར་བ།,c
